method,metric,mean,std,n_seeds
gaussian_fm,angular_sw_bin0,0.0133472,0.000450955,3
gaussian_fm,angular_sw_bin1,0.0138934,0.000996574,3
gaussian_fm,angular_sw_bin2,0.0137831,0.00276981,3
gaussian_fm,angular_sw_bin3,0.0177531,0.00347972,3
gaussian_fm,angular_sw_mean,0.0146942,0.00130003,3
gaussian_fm,exploding_norm_rate,0,0,3
gaussian_fm,invalid_rate,0,0,3
gaussian_fm,ks_stat,0.0732333,0.0244994,3
gaussian_fm,mmd,0.00113487,0.000209303,3
gaussian_fm,nan_rate,0,0,3
gaussian_fm,nfe,512,0,3
gaussian_fm,q950_err,0.0319374,0.0201567,3
gaussian_fm,q990_err,0.18032,0.0236231,3
gaussian_fm,q995_err,0.271364,0.0203457,3
gaussian_fm,radial_w1,1.73124,0.397531,3
gaussian_fm,sample_time_s,0.167376,0.0141004,3
gaussian_fm,sliced_w1,0.420327,0.0204961,3
gaussian_fm,tail_exc_95,0.0102667,0.00661379,3
gaussian_fm,tail_exc_99,0.00846667,0.000188562,3
gaussian_fm,total_train_time_s,17.2202,0.140526,3
rafm_empirical,angular_sw_bin0,0.0141707,0.000902083,3
rafm_empirical,angular_sw_bin1,0.0142899,0.00120027,3
rafm_empirical,angular_sw_bin2,0.0127806,0.000793703,3
rafm_empirical,angular_sw_bin3,0.0124914,0.00244296,3
rafm_empirical,angular_sw_mean,0.0134331,0.000708622,3
rafm_empirical,exploding_norm_rate,0,0,3
rafm_empirical,invalid_rate,0,0,3
rafm_empirical,ks_stat,0.0127,0.000616444,3
rafm_empirical,mmd,0.000573039,0.000194184,3
rafm_empirical,nan_rate,0,0,3
rafm_empirical,nfe,512,0,3
rafm_empirical,q950_err,0.0187065,0.00765022,3
rafm_empirical,q990_err,0.0227527,0.0111231,3
rafm_empirical,q995_err,0.055113,0.0131682,3
rafm_empirical,radial_w1,0.260991,0.00798437,3
rafm_empirical,sample_time_s,0.268572,0.0159958,3
rafm_empirical,sliced_w1,0.268457,0.0385166,3
rafm_empirical,tail_exc_95,0.00376667,0.0015107,3
rafm_empirical,tail_exc_99,0.000533333,0.000262467,3
rafm_empirical,total_train_time_s,35.1658,0.304973,3
rafm_oracle,angular_sw_bin0,0.0130475,0.00201558,3
rafm_oracle,angular_sw_bin1,0.0144787,0.00194493,3
rafm_oracle,angular_sw_bin2,0.0128046,0.00204276,3
rafm_oracle,angular_sw_bin3,0.01431,0.00158026,3
rafm_oracle,angular_sw_mean,0.0136602,0.00144907,3
rafm_oracle,exploding_norm_rate,0,0,3
rafm_oracle,invalid_rate,0,0,3
rafm_oracle,ks_stat,0.0128,0.00189911,3
rafm_oracle,mmd,0.000582973,0.000183936,3
rafm_oracle,nan_rate,0,0,3
rafm_oracle,nfe,512,0,3
rafm_oracle,q950_err,0.0299042,0.00952103,3
rafm_oracle,q990_err,0.0193082,0.00997969,3
rafm_oracle,q995_err,0.0563352,0.0492246,3
rafm_oracle,radial_w1,0.287209,0.0710647,3
rafm_oracle,sample_time_s,0.276059,0.0248602,3
rafm_oracle,sliced_w1,0.275977,0.0388146,3
rafm_oracle,tail_exc_95,0.00633333,0.00162138,3
rafm_oracle,tail_exc_99,0.000566667,0.000329983,3
rafm_oracle,total_train_time_s,35.1622,0.182725,3
source_only_empirical,angular_sw_bin0,0.0147123,0.000682334,3
source_only_empirical,angular_sw_bin1,0.0170543,0.00152854,3
source_only_empirical,angular_sw_bin2,0.0143824,0.00118364,3
source_only_empirical,angular_sw_bin3,0.0144235,0.00119046,3
source_only_empirical,angular_sw_mean,0.0151431,0.00045248,3
source_only_empirical,exploding_norm_rate,0,0,3
source_only_empirical,invalid_rate,0,0,3
source_only_empirical,ks_stat,0.0181333,0.00363533,3
source_only_empirical,mmd,0.000788927,0.000178907,3
source_only_empirical,nan_rate,0,0,3
source_only_empirical,nfe,512,0,3
source_only_empirical,q950_err,0.0359587,0.00490108,3
source_only_empirical,q990_err,0.0296122,0.00263037,3
source_only_empirical,q995_err,0.0525048,0.011156,3
source_only_empirical,radial_w1,0.398131,0.0524321,3
source_only_empirical,sample_time_s,0.18021,0.00246674,3
source_only_empirical,sliced_w1,0.309005,0.0349909,3
source_only_empirical,tail_exc_95,0.00763333,0.00122837,3
source_only_empirical,tail_exc_99,0.00116667,0.000262467,3
source_only_empirical,total_train_time_s,18.6228,0.407807,3
source_only_oracle,angular_sw_bin0,0.0146078,0.000411561,3
source_only_oracle,angular_sw_bin1,0.0156851,0.00117198,3
source_only_oracle,angular_sw_bin2,0.0135136,0.00257096,3
source_only_oracle,angular_sw_bin3,0.0171478,0.00150387,3
source_only_oracle,angular_sw_mean,0.0152386,0.00130998,3
source_only_oracle,exploding_norm_rate,0,0,3
source_only_oracle,invalid_rate,0,0,3
source_only_oracle,ks_stat,0.017,0.00441436,3
source_only_oracle,mmd,0.000803947,0.000181218,3
source_only_oracle,nan_rate,0,0,3
source_only_oracle,nfe,512,0,3
source_only_oracle,q950_err,0.0369658,0.0224736,3
source_only_oracle,q990_err,0.0352405,0.0244594,3
source_only_oracle,q995_err,0.0752608,0.00566491,3
source_only_oracle,radial_w1,0.442657,0.136116,3
source_only_oracle,sample_time_s,0.178037,0.00248395,3
source_only_oracle,sliced_w1,0.337812,0.0430951,3
source_only_oracle,tail_exc_95,0.0065,0.00361109,3
source_only_oracle,tail_exc_99,0.001,0.000648074,3
source_only_oracle,total_train_time_s,18.2008,0.0736823,3
