method,metric,mean,std,n_seeds
gaussian_fm,angular_sw_bin0,0.0118478,0.000566069,3
gaussian_fm,angular_sw_bin1,0.013708,0.00105119,3
gaussian_fm,angular_sw_bin2,0.015288,0.00243867,3
gaussian_fm,angular_sw_bin3,0.0142929,0.00319439,3
gaussian_fm,angular_sw_mean,0.0137842,0.00173623,3
gaussian_fm,exploding_norm_rate,0,0,3
gaussian_fm,invalid_rate,0,0,3
gaussian_fm,ks_stat,0.0129667,0.00337672,3
gaussian_fm,mmd,0.000524441,0.000227325,3
gaussian_fm,nan_rate,0,0,3
gaussian_fm,nfe,512,0,3
gaussian_fm,q950_err,0.00236387,7.80865e-05,3
gaussian_fm,q990_err,0.00892199,0.00758352,3
gaussian_fm,q995_err,0.00878838,0.00534562,3
gaussian_fm,radial_w1,0.0825668,0.0338018,3
gaussian_fm,sample_time_s,0.142529,0.00657725,3
gaussian_fm,sliced_w1,0.147254,0.0342654,3
gaussian_fm,tail_exc_95,0.001,0.000216025,3
gaussian_fm,tail_exc_99,0.000933333,0.000740871,3
gaussian_fm,total_train_time_s,17.5438,0.0918055,3
rafm_empirical,angular_sw_bin0,0.0111857,0.000341498,3
rafm_empirical,angular_sw_bin1,0.0104904,0.000661196,3
rafm_empirical,angular_sw_bin2,0.0122041,0.000444072,3
rafm_empirical,angular_sw_bin3,0.0140788,0.00179168,3
rafm_empirical,angular_sw_mean,0.0119898,0.000515363,3
rafm_empirical,exploding_norm_rate,0,0,3
rafm_empirical,invalid_rate,0,0,3
rafm_empirical,ks_stat,0.0123667,0.00194821,3
rafm_empirical,mmd,0.000222246,2.85456e-05,3
rafm_empirical,nan_rate,0,0,3
rafm_empirical,nfe,512,0,3
rafm_empirical,q950_err,0.00690503,0.00254775,3
rafm_empirical,q990_err,0.00291082,0.00210285,3
rafm_empirical,q995_err,0.0105635,0.00452267,3
rafm_empirical,radial_w1,0.0549354,0.00892499,3
rafm_empirical,sample_time_s,0.261722,0.0116025,3
rafm_empirical,sliced_w1,0.103951,0.00747315,3
rafm_empirical,tail_exc_95,0.0027,0.00106145,3
rafm_empirical,tail_exc_99,0.000733333,0.000410961,3
rafm_empirical,total_train_time_s,32.8482,0.102004,3
rafm_oracle,angular_sw_bin0,0.0105537,0.000755126,3
rafm_oracle,angular_sw_bin1,0.00983724,0.000619872,3
rafm_oracle,angular_sw_bin2,0.0126918,0.000365282,3
rafm_oracle,angular_sw_bin3,0.0118555,0.002163,3
rafm_oracle,angular_sw_mean,0.0112346,0.000714781,3
rafm_oracle,exploding_norm_rate,0,0,3
rafm_oracle,invalid_rate,0,0,3
rafm_oracle,ks_stat,0.0122333,0.00243904,3
rafm_oracle,mmd,0.000213305,3.90228e-05,3
rafm_oracle,nan_rate,0,0,3
rafm_oracle,nfe,512,0,3
rafm_oracle,q950_err,0.00335153,0.00195387,3
rafm_oracle,q990_err,0.0184111,0.00447352,3
rafm_oracle,q995_err,0.0157595,0.00807935,3
rafm_oracle,radial_w1,0.0719954,0.00500683,3
rafm_oracle,sample_time_s,0.229056,0.00953897,3
rafm_oracle,sliced_w1,0.10437,0.00849317,3
rafm_oracle,tail_exc_95,0.00193333,0.00118977,3
rafm_oracle,tail_exc_99,0.00263333,0.00054365,3
rafm_oracle,total_train_time_s,32.7401,0.18803,3
source_only_empirical,angular_sw_bin0,0.0116308,0.00186878,3
source_only_empirical,angular_sw_bin1,0.0115258,0.00156885,3
source_only_empirical,angular_sw_bin2,0.0141538,0.00168023,3
source_only_empirical,angular_sw_bin3,0.0202476,0.00248999,3
source_only_empirical,angular_sw_mean,0.0143895,0.00145551,3
source_only_empirical,exploding_norm_rate,0,0,3
source_only_empirical,invalid_rate,0,0,3
source_only_empirical,ks_stat,0.0178333,0.00253683,3
source_only_empirical,mmd,0.000505249,0.000147252,3
source_only_empirical,nan_rate,0,0,3
source_only_empirical,nfe,512,0,3
source_only_empirical,q950_err,0.00240528,0.0015948,3
source_only_empirical,q990_err,0.0121913,0.00683489,3
source_only_empirical,q995_err,0.0142211,0.00490376,3
source_only_empirical,radial_w1,0.113446,0.0185818,3
source_only_empirical,sample_time_s,0.164198,0.00834806,3
source_only_empirical,sliced_w1,0.149492,0.0175138,3
source_only_empirical,tail_exc_95,0.00153333,0.000713365,3
source_only_empirical,tail_exc_99,0.002,0.00094163,3
source_only_empirical,total_train_time_s,18.4535,0.293755,3
source_only_oracle,angular_sw_bin0,0.0104639,0.00119528,3
source_only_oracle,angular_sw_bin1,0.0116738,0.00154778,3
source_only_oracle,angular_sw_bin2,0.0138992,0.00120419,3
source_only_oracle,angular_sw_bin3,0.0158802,0.00137147,3
source_only_oracle,angular_sw_mean,0.0129793,0.000474908,3
source_only_oracle,exploding_norm_rate,0,0,3
source_only_oracle,invalid_rate,0,0,3
source_only_oracle,ks_stat,0.0167333,0.00109646,3
source_only_oracle,mmd,0.000468055,0.000161882,3
source_only_oracle,nan_rate,0,0,3
source_only_oracle,nfe,512,0,3
source_only_oracle,q950_err,0.00745453,0.00483202,3
source_only_oracle,q990_err,0.0308024,0.0051249,3
source_only_oracle,q995_err,0.0329983,0.00775787,3
source_only_oracle,radial_w1,0.12991,0.00185373,3
source_only_oracle,sample_time_s,0.158033,0.00186007,3
source_only_oracle,sliced_w1,0.146728,0.0212618,3
source_only_oracle,tail_exc_95,0.00353333,0.00229541,3
source_only_oracle,tail_exc_99,0.00416667,0.000449691,3
source_only_oracle,total_train_time_s,18.1965,0.0173596,3
