method,metric,mean,std,n_seeds
gaussian_fm,angular_sw_bin0,0.0157915,0.000962185,3
gaussian_fm,angular_sw_bin1,0.0153747,0.000942123,3
gaussian_fm,angular_sw_bin2,0.0140432,0.00075722,3
gaussian_fm,angular_sw_bin3,0.0146111,0.00150416,3
gaussian_fm,angular_sw_mean,0.0149551,0.000148597,3
gaussian_fm,exploding_norm_rate,0,0,3
gaussian_fm,invalid_rate,0,0,3
gaussian_fm,ks_stat,0.0441595,0.010169,3
gaussian_fm,mmd,0.00266985,0.000669457,3
gaussian_fm,n_params,57952,0,3
gaussian_fm,nan_rate,0,0,3
gaussian_fm,nfe,512,0,3
gaussian_fm,q950_err,0.0181541,0.00855662,3
gaussian_fm,q990_err,0.10156,0.0193548,3
gaussian_fm,q995_err,0.0971055,0.0419308,3
gaussian_fm,radial_w1,0.178554,0.0310776,3
gaussian_fm,sample_time_s,0.160832,0.00591842,3
gaussian_fm,sliced_w1,0.0854209,0.00749035,3
gaussian_fm,tail_exc_95,0.0112536,0.00475024,3
gaussian_fm,tail_exc_99,0.0207692,0.00120873,3
gaussian_fm,total_train_time_s,17.6328,0.0697512,3
msgm,angular_sw_bin0,0.0185439,0.000662252,3
msgm,angular_sw_bin1,0.0171708,0.00126842,3
msgm,angular_sw_bin2,0.0169844,0.00114241,3
msgm,angular_sw_bin3,0.022086,0.000818085,3
msgm,angular_sw_mean,0.0186963,0.000310575,3
msgm,exploding_norm_rate,0,0,3
msgm,invalid_rate,0,0,3
msgm,ks_stat,0.0330484,0.00929317,3
msgm,mmd,0.00418711,0.000171615,3
msgm,nan_rate,0,0,3
msgm,q950_err,0.0283827,0.00742002,3
msgm,q990_err,0.0190413,0.00552062,3
msgm,q995_err,0.0130147,0.00907013,3
msgm,radial_w1,0.098684,0.0282145,3
msgm,sample_time_s,2.51582,0.0441809,3
msgm,sliced_w1,0.119936,0.0029191,3
msgm,tail_exc_95,0.0175214,0.0030419,3
msgm,tail_exc_99,0.00339031,0.002132,3
msgm,total_train_time_s,20085.2,563.931,3
rafm_empirical,angular_sw_bin0,0.0145229,0.000547366,3
rafm_empirical,angular_sw_bin1,0.012453,0.000559213,3
rafm_empirical,angular_sw_bin2,0.0134321,0.00043021,3
rafm_empirical,angular_sw_bin3,0.013281,0.00174391,3
rafm_empirical,angular_sw_mean,0.0134223,0.000537405,3
rafm_empirical,exploding_norm_rate,0,0,3
rafm_empirical,invalid_rate,0,0,3
rafm_empirical,ks_stat,0.0330484,0.00175624,3
rafm_empirical,mmd,0.0019087,0.000378258,3
rafm_empirical,n_params,57952,0,3
rafm_empirical,nan_rate,0,0,3
rafm_empirical,nfe,512,0,3
rafm_empirical,q950_err,0.0121572,0.00880342,3
rafm_empirical,q990_err,0.0276912,0.00422132,3
rafm_empirical,q995_err,0.00828026,0.00236505,3
rafm_empirical,radial_w1,0.0872694,0.00477424,3
rafm_empirical,sample_time_s,0.263332,0.0221421,3
rafm_empirical,sliced_w1,0.0745593,0.00446066,3
rafm_empirical,tail_exc_95,0.00698006,0.00475024,3
rafm_empirical,tail_exc_99,0.00794872,0.00069786,3
rafm_empirical,total_train_time_s,36.1427,1.7661,3
source_only_empirical,angular_sw_bin0,0.0167696,0.000934903,3
source_only_empirical,angular_sw_bin1,0.0157107,0.000425717,3
source_only_empirical,angular_sw_bin2,0.0142874,0.00105246,3
source_only_empirical,angular_sw_bin3,0.0131923,0.00137903,3
source_only_empirical,angular_sw_mean,0.01499,0.000644714,3
source_only_empirical,exploding_norm_rate,0,0,3
source_only_empirical,invalid_rate,0,0,3
source_only_empirical,ks_stat,0.0837607,0.0178057,3
source_only_empirical,mmd,0.00300459,0.000475381,3
source_only_empirical,n_params,57952,0,3
source_only_empirical,nan_rate,0,0,3
source_only_empirical,nfe,512,0,3
source_only_empirical,q950_err,0.0605165,0.015797,3
source_only_empirical,q990_err,0.148046,0.020388,3
source_only_empirical,q995_err,0.168898,0.0440447,3
source_only_empirical,radial_w1,0.379695,0.0371373,3
source_only_empirical,sample_time_s,0.154496,0.00578741,3
source_only_empirical,sliced_w1,0.0944438,0.00696195,3
source_only_empirical,tail_exc_95,0.0274929,0.00746199,3
source_only_empirical,tail_exc_99,0.0372934,0.00528411,3
source_only_empirical,total_train_time_s,18.5914,0.0452679,3
