method,metric,mean,std,n_seeds
gaussian_fm,angular_sw_bin0,0.0141555,0.000539837,3
gaussian_fm,angular_sw_bin1,0.0152293,0.000633681,3
gaussian_fm,angular_sw_bin2,0.015943,0.000493326,3
gaussian_fm,angular_sw_bin3,0.0188171,0.00268616,3
gaussian_fm,angular_sw_mean,0.0160362,0.000737763,3
gaussian_fm,exploding_norm_rate,0,0,3
gaussian_fm,invalid_rate,0,0,3
gaussian_fm,ks_stat,0.091453,0.044131,3
gaussian_fm,mmd,0.00435638,0.000630719,3
gaussian_fm,n_params,576096,0,3
gaussian_fm,nan_rate,0,0,3
gaussian_fm,nfe,512,0,3
gaussian_fm,q950_err,0.0488338,0.0166047,3
gaussian_fm,q990_err,0.0212458,0.0153265,3
gaussian_fm,q995_err,0.0204107,0.0181752,3
gaussian_fm,radial_w1,0.310716,0.210805,3
gaussian_fm,sample_time_s,0.361166,0.0205591,3
gaussian_fm,sliced_w1,0.104858,0.00812158,3
gaussian_fm,tail_exc_95,0.0257835,0.00633223,3
gaussian_fm,tail_exc_99,0.00230769,0.00120873,3
gaussian_fm,total_train_time_s,34.424,0.363707,3
rafm_empirical,angular_sw_bin0,0.0148094,0.00166911,3
rafm_empirical,angular_sw_bin1,0.0125176,0.000931781,3
rafm_empirical,angular_sw_bin2,0.0139076,0.00046796,3
rafm_empirical,angular_sw_bin3,0.0135156,0.0015813,3
rafm_empirical,angular_sw_mean,0.0136876,0.000929555,3
rafm_empirical,exploding_norm_rate,0,0,3
rafm_empirical,invalid_rate,0,0,3
rafm_empirical,ks_stat,0.0330484,0.00175624,3
rafm_empirical,mmd,0.00234489,0.000569308,3
rafm_empirical,n_params,576096,0,3
rafm_empirical,nan_rate,0,0,3
rafm_empirical,nfe,512,0,3
rafm_empirical,q950_err,0.0121572,0.00880347,3
rafm_empirical,q990_err,0.0276912,0.00422126,3
rafm_empirical,q995_err,0.0082803,0.00236499,3
rafm_empirical,radial_w1,0.0872694,0.00477426,3
rafm_empirical,sample_time_s,0.459745,0.0352131,3
rafm_empirical,sliced_w1,0.0811068,0.00875323,3
rafm_empirical,tail_exc_95,0.00698006,0.00475024,3
rafm_empirical,tail_exc_99,0.00794872,0.00069786,3
rafm_empirical,total_train_time_s,59.8836,0.982178,3
source_only_empirical,angular_sw_bin0,0.0152866,0.00100495,3
source_only_empirical,angular_sw_bin1,0.0137188,0.000913212,3
source_only_empirical,angular_sw_bin2,0.0145924,0.00122727,3
source_only_empirical,angular_sw_bin3,0.0146727,0.000172212,3
source_only_empirical,angular_sw_mean,0.0145676,0.000293607,3
source_only_empirical,exploding_norm_rate,0,0,3
source_only_empirical,invalid_rate,0,0,3
source_only_empirical,ks_stat,0.0490029,0.0240365,3
source_only_empirical,mmd,0.00329661,0.000742419,3
source_only_empirical,n_params,576096,0,3
source_only_empirical,nan_rate,0,0,3
source_only_empirical,nfe,512,0,3
source_only_empirical,q950_err,0.0338775,0.0118706,3
source_only_empirical,q990_err,0.01429,0.00922503,3
source_only_empirical,q995_err,0.0159395,0.0196189,3
source_only_empirical,radial_w1,0.184745,0.112563,3
source_only_empirical,sample_time_s,0.361015,0.0117909,3
source_only_empirical,sliced_w1,0.0924096,0.00965992,3
source_only_empirical,tail_exc_95,0.0206553,0.00533,3
source_only_empirical,tail_exc_99,0.00247863,0.00110782,3
source_only_empirical,total_train_time_s,34.774,0.186904,3
